"Protocol ID","Secondary IDs","ClinicalTrials.gov ID","Brief Title","Overall Status","Study Type","Phase","Intervention Types","U.S. FDA Regulated Drug","U.S. FDA Regulated Device","U.S. FDA IND/IDE Information","Locations in US","Start Date","Primary Completion Date","Primary Completion Date Type","Study Completion Date","Study Completion Date Type","Delayed Results Type","Plan to Share IPD?","Available IPD/Information","Study Documents","Initial Release","Initial Results Release","Initial Delayed Results Release","Verification Date","Record Status","NIH Grants","Results Status","Unreported Primary Outcomes","Unreported Secondary Outcomes","Delayed Results Status","Last Update","Last Release","Record Owner","Last Updater","Responsible Party","Central Contacts","Study Officials","Sponsor","Collaborators","Public Site Status","Initial Public Release","Last Public Release","FDAAA Status","Problems","Update Expected","Corrections Expected","Results Expected","All Results Expected","Review Comments Status"
"45",215,874,"Title 167","Recruiting","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"04/22/2018","01/03/2023","Anticipated","01/03/2023","Anticipated",,,,,"12/12/2017",,,"05/26/2022","Public","NIMH",,,,,"05/09/2022","05/09/2022","ro_name_AHJ
ro_name_AHJ@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_HBF
cc_name_HBF@email.com
+5 (555) 555-5555","so_name_CBC","University","National Institute of Mental Health (NIMH)","Public Site Status","12/12/2017","05/09/2022",,,"05/26/2023",,,,
"50",555,1341,"Title 1166","Not yet recruiting","Interventional","Phase 2","Biological/Vaccine","FDA regulated drug","No FDA regulated device",,,"02/23/2023","07/26/2027","Anticipated","07/26/2027","Anticipated",,,,,"09/10/2022",,,"09/23/2022","Public","NIAID",,,,,"09/18/2022","09/18/2022","ro_name_AA
ro_name_AA@email.com","lu_name_F
lu_name_F@email.com","[Sponsor]","cc_name_AE
cc_name_AE@email.com
(555) 555-5555","so_name_AG","University","National Institute of Allergy and Infectious Diseases (NIAID)","Public Site Status","09/18/2022","09/18/2022","ACT",,"09/23/2023",,"07/25/2028","07/25/2028",
"104",392,766,"Title 684","Completed","Interventional","Phase 1","Drug",,,,,"05/25/2016","09/18/2016","Actual","09/26/2016","Actual",,,,,"05/14/2016","01/11/2020",,"07/25/2020","Public","NIAAA","Posted",,,,"07/15/2020","07/15/2020","ro_name_IC
ro_name_IC@email.com","lu_name_BBD
lu_name_BBD@email.com","rp_name_ABH","cc_name_AGC
cc_name_AGC@email.com
5555555555",,"University","National Institute on Alcohol Abuse and Alcoholism (NIAAA)","Public Site Status","10/08/2016","07/15/2020",,,,,,,
"187",537,630,"Title 144","Completed","Interventional","N/A","Other","No FDA regulated drug","No FDA regulated device",,,"07/07/2017","01/02/2021","Actual","01/02/2021","Actual",,,,,"12/29/2014",,,"10/24/2022","Public","NIA",,,,,"11/02/2022","11/02/2022","ro_name_BGJ
ro_name_BGJ@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DGG
cc_name_DGG@email.com
555-555-5555","so_name_DFE","University","National Institute on Aging (NIA)","Public Site Status","01/20/2015","11/02/2022",,,,,,,
"199",156,678,"Title 1247","Completed","Interventional","N/A","Behavioral",,,,,"02/23/2014","12/24/2019","Actual","02/23/2020","Actual",,,,,"08/05/2014",,,"08/26/2022","Public","NIDDK",,,,,"08/16/2022","08/16/2022","ro_name_CHB
ro_name_CHB@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_GAD
cc_name_GAD@email.com
555-555-5555","so_name_FHA","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","09/27/2015","08/16/2022",,,,,,,
"225",,618,"Title 917","Completed","Interventional","N/A","Other",,,,,"01/23/2015","06/24/2020","Actual","06/24/2020","Actual",,,,,"01/04/2015",,,"05/26/2021","Public",,,,,,"05/24/2021","05/24/2021","ro_name_CJE
ro_name_CJE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_BBI
cc_name_BBI@email.com
555-555-5555","so_name_EBH","University",,"Public Site Status","01/04/2015","05/24/2021",,,,,,,
"244",502,740,"Title 651","Completed","Interventional","N/A","Behavioral",,,,,"04/24/2016","02/04/2021","Actual","06/05/2022","Actual",,,,,"07/19/2016",,,"08/26/2022","Public","NINR",,,,,"08/31/2022","08/31/2022","ro_name_CDH
ro_name_CDH@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_FAJ
cc_name_FAJ@email.com
555-555-5555","so_name_FBJ","University","Milton S. Hershey Medical Center
National Institute of Nursing Research (NINR)","Public Site Status","07/24/2016","08/31/2022",,,,,,,
"254",228,494,"Title 1162","Completed","Observational",,"Other",,,,,"10/24/2013","01/23/2014","Actual","01/23/2014","Actual",,,,,"09/28/2013",,,"02/23/2015","Public","NCI; NIH",,,,,"02/24/2015","02/24/2015","ro_name_BDE
ro_name_BDE@email.com","lu_name_AFJ
lu_name_AFJ@email.com","[Sponsor]","cc_name_DBH
cc_name_DBH@email.com
555-555-5555","so_name_GHC","University","National Cancer Institute (NCI)
National Institutes of Health (NIH)","Public Site Status","09/28/2013","02/24/2015",,,,,,,
"300",,488,"Title 891","Completed","Interventional","N/A","Behavioral; Other",,,,,"09/23/2013","09/23/2015","Actual",,"None",,,,,"08/26/2013",,,"05/26/2017","Public",,,,,,"09/29/2020","09/29/2020","ro_name_AEE
ro_name_AEE@email.com","lu_name_ABE
lu_name_ABE@email.com","[Sponsor]","cc_name_GED
cc_name_GED@email.com
555-555-5555",,"University","Yale University","Public Site Status","08/26/2013","09/29/2020",,,,,,,
"307",144,1079,"Title 910","Recruiting","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"05/01/2021","11/03/2023","Anticipated","01/03/2024","Anticipated",,,,,"04/06/2020",,,"06/25/2022","Public","NCMHD",,,,,"06/13/2022","06/14/2022","ro_name_DJ
ro_name_DJ@email.com","lu_name_BJ
lu_name_BJ@email.com","[Sponsor]","cc_name_FB
cc_name_FB@email.com
(555) 555-5555","so_name_FA","University","National Institute on Minority Health and Health Disparities (NIMHD)","Public Site Status","04/06/2020","06/14/2022",,,"06/25/2023",,,,
"312",91,396,"Title 843","Completed","Interventional","Early Phase 1","Drug","FDA regulated drug","No FDA regulated device",,,"07/10/2017","10/03/2020","Actual","10/04/2020","Actual",,,,,"06/11/2012","10/23/2021",,"02/23/2022","Public","NIDA","Posted",,,,"02/08/2022","02/08/2022","ro_name_CBE
ro_name_CBE@email.com","lu_name_AFE
lu_name_AFE@email.com","rp_name_HG",,"so_name_EFJ","University","National Institute on Drug Abuse (NIDA)","Public Site Status","06/19/2012","02/08/2022",,,,,,,
"318",413,960,"Title 604","Completed","Observational","Phase 4","Drug","FDA regulated drug","No FDA regulated device",,,"12/27/2014","06/19/2016","Actual","01/03/2018","Actual",,,,,"09/22/2018",,,"11/23/2020","Public","NIDA",,,,,"11/25/2020","11/25/2020","ro_name_AEC
ro_name_AEC@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_GFJ
cc_name_GFJ@email.com
555-555-5555","so_name_BGB","University","National Institute on Drug Abuse (NIDA)
George Mason University
Howard University","Public Site Status","12/30/2018","11/25/2020",,,,,,,
"322",,584,"Title 723","Active, not recruiting","Interventional","N/A","Behavioral",,,,,"05/26/2014","06/25/2023","Anticipated","06/25/2023","Anticipated",,,,,"10/11/2014",,,"08/26/2022","Public",,,,,,"08/10/2022","08/10/2022","ro_name_CBF
ro_name_CBF@email.com","lu_name_CJ
lu_name_CJ@email.com","[Sponsor]","cc_name_FAH
cc_name_FAH@email.com
555-555-5555","so_name_EFI","University",,"Public Site Status","10/11/2014","08/10/2022",,,"08/26/2023",,,,
"342",564,380,"Title 655","Completed","Interventional","N/A","Other",,,,,"07/26/2013","02/03/2019","Actual","03/06/2019","Actual",,,,,"01/31/2012",,,"05/26/2021","Public","NIAAA",,,,,"05/11/2021","05/11/2021","ro_name_AJD
ro_name_AJD@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_AHG
cc_name_AHG@email.com
555-555-5555","so_name_AFF","University","National Institute on Alcohol Abuse and Alcoholism (NIAAA)
US Department of Veterans Affairs","Public Site Status","02/05/2012","05/11/2021",,,,,,,
"345",211,793,"Title 1283","Completed","Interventional","N/A","Behavioral",,,,,"07/25/2016","09/23/2018","Actual","09/23/2018","Actual",,,,,"01/15/2017",,,"09/23/2020","Public",,,,,,"09/07/2020","09/07/2020","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_BGC
cc_name_BGC@email.com
(555) 555-5555","so_name_BGA","University","Simons Foundation","Public Site Status","02/04/2017","09/07/2020",,,,,,,
"347",330,601,"Title 838","Completed","Interventional","Phase 1","Drug","FDA regulated drug","No FDA regulated device",,,"09/04/2017","12/05/2018","Actual","02/04/2019","Actual",,,,,"11/30/2014","06/20/2020",,"08/25/2020","Public","NIAAA","Posted",,,,"08/12/2020","08/12/2020","ro_name_BHH
ro_name_BHH@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EBA
cc_name_EBA@email.com
555-555-5555","so_name_DID","University","National Institute on Alcohol Abuse and Alcoholism (NIAAA)","Public Site Status","11/30/2014","08/12/2020",,,,,,,
"350",504,726,"Title 851","Completed","Interventional","N/A","Behavioral",,,,,"06/24/2016","06/07/2017","Actual","09/13/2017","Actual",,,,,"04/18/2016","12/17/2017",,"05/26/2017","Public","NIDDK","Posted",,,,"09/29/2020","09/29/2020","ro_name_DGG
ro_name_DGG@email.com","lu_name_ABE
lu_name_ABE@email.com","[Sponsor]","cc_name_GJA
cc_name_GJA@email.com
555-555-5555","so_name_FFI","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","04/18/2016","09/29/2020",,,,,,,
"357",252,541,"Title 379","Active, not recruiting","Observational",,,"No FDA regulated drug","No FDA regulated device",,,"10/24/2013","12/18/2018","Actual","11/23/2023","Anticipated",,,,,"05/25/2014",,,"12/24/2021","Public","NCMHD",,,,,"12/18/2021","12/18/2021","ro_name_CJF
ro_name_CJF@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DAD
cc_name_DAD@email.com
555-555-5555","so_name_ECA","University","National Institute on Minority Health and Health Disparities (NIMHD)","Public Site Status","05/25/2014","12/18/2021",,,"12/24/2022",,,,
"360",401,518,"Title 954","Completed","Interventional","Phase 2","Drug",,,,,"01/23/2014","06/25/2017","Actual","06/25/2017","Actual",,,,,"01/15/2014","09/12/2018",,"09/23/2020","Public","NIDA","Posted",,,,"09/07/2020","09/07/2020","ro_name_DBA
ro_name_DBA@email.com","lu_name_BAB
lu_name_BAB@email.com","rp_name_ABJ","cc_name_EII
cc_name_EII@email.com
555-555-5555","so_name_GEI","University","National Institute on Drug Abuse (NIDA)","Public Site Status","01/20/2014","09/07/2020","pACT",,,,,,
"361",465,565,"Title 579","Completed","Interventional","Phase 2","Drug","FDA regulated drug","No FDA regulated device",,,"09/23/2014","05/26/2021","Actual","05/26/2021","Actual",,,,,"07/20/2014","06/05/2022",,"05/26/2022","Public","NIDA","Posted",,,,"06/05/2022","06/05/2022","ro_name_DBA
ro_name_DBA@email.com","lu_name_BAB
lu_name_BAB@email.com","rp_name_ABJ","cc_name_GFD
cc_name_GFD@email.com
555-555-5555","so_name_GEI","University","National Institute on Drug Abuse (NIDA)","Public Site Status","08/04/2014","06/05/2022","pACT",,,,,,
"362",87,556,"Title 212","Completed","Interventional","N/A","Behavioral",,,,,"07/26/2014","02/23/2018","Actual","03/17/2018","Actual",,,,,"07/16/2014",,,"09/23/2020","Public","NIDA",,,,,"09/07/2020","09/07/2020","ro_name_BED
ro_name_BED@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_HHI
cc_name_HHI@email.com
","so_name_DCA","University","National Institute on Drug Abuse (NIDA)","Public Site Status","07/25/2014","09/07/2020",,,,,,,
"367",520,475,"Title 358","Completed","Interventional","Phase 2","Drug",,,,,"08/26/2013","05/26/2017","Actual","05/26/2017","Actual",,,,,"05/15/2013","05/26/2018",,"07/26/2018","Public","NIDA","Posted",,,,"07/28/2018","07/28/2018","ro_name_DBA
ro_name_DBA@email.com","lu_name_BAB
lu_name_BAB@email.com","rp_name_ABJ","cc_name_EII
cc_name_EII@email.com
555-555-5555","so_name_GEI","University","National Institute on Drug Abuse (NIDA)","Public Site Status","05/21/2013","07/28/2018","pACT",,,,,,
"369",,1020,"Title 220","Completed","Interventional","Early Phase 1","Drug; Other","FDA regulated drug","No FDA regulated device",,,"10/05/2013","03/06/2019","Actual","03/06/2019","Actual",,,,,"08/20/2019",,,"12/24/2020","Public",,,,,,"01/02/2021","01/02/2021","ro_name_H
ro_name_H@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_FFC
cc_name_FFC@email.com
555-555-5555","so_name_AJ","University",,"Public Site Status","08/20/2019","01/02/2021",,,,,,,
"377",,498,"Title 324","Completed","Interventional","N/A","Device",,,,,"12/24/2013","06/25/2015","Actual","06/25/2015","Actual",,,,,"10/02/2013","06/18/2016",,"07/25/2016","Public",,"Posted",,,,"07/31/2016","07/31/2016","ro_name_CBH
ro_name_CBH@email.com","lu_name_AFG
lu_name_AFG@email.com","rp_name_HH","cc_name_FBA
cc_name_FBA@email.com
555-555-5555",,"University","Thrasher Research Fund","Public Site Status","10/30/2013","07/31/2016","pACT",,,,,,
"380",332,623,"Title 775","Completed","Interventional","N/A","Behavioral",,,,,"01/23/2015","06/25/2017","Actual","06/25/2017","Actual",,,,,"01/14/2015",,,"09/23/2017","Public","NCCAM; NIH",,,,,"09/05/2017","09/05/2017","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]",,"so_name_FE","University","National Institutes of Health (NIH)
National Center for Complementary and Integrative Health (NCCIH)","Public Site Status","01/14/2015","09/05/2017",,,,,,,
"385",,506,"Title 132","Completed","Interventional","Phase 2","Drug","No FDA regulated drug","No FDA regulated device",,,"11/23/2013","02/23/2015","Actual","03/26/2015","Actual",,,,,"11/25/2013",,,"10/24/2017","Public",,,,,,"10/29/2017","10/29/2017","ro_name_DED
ro_name_DED@email.com","lu_name_BE
lu_name_BE@email.com","[Sponsor]","cc_name_GDA
cc_name_GDA@email.com
555-555-5555","so_name_GJJ","University",,"Public Site Status","11/25/2013","10/29/2017",,,,,,,
"387",,446,"Title 477","Completed","Interventional","N/A","Behavioral",,,,,"09/23/2013","06/25/2015","Actual","06/25/2015","Actual",,,,,"02/05/2013",,,"03/26/2022","Public",,,,,,"03/07/2022","03/07/2022","ro_name_DGG
ro_name_DGG@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_CHF
cc_name_CHF@email.com
555-555-5555","so_name_CHC","University","Innovations for Poverty Action
Mexican National Institute of Public Health","Public Site Status","02/09/2013","03/07/2022",,,,,,,
"389",508,831,"Title 657","Completed","Interventional","N/A","Behavioral",,,,,"06/06/2017","02/03/2019","Actual","02/03/2019","Actual",,,,,"07/12/2017",,,"02/23/2011","Public","NIMH",,,,,"02/15/2021","02/16/2021","ro_name_CDI
ro_name_CDI@email.com","lu_name_AGH
lu_name_AGH@email.com","[Sponsor]","cc_name_FDG
cc_name_FDG@email.com
","so_name_FAI","University","National Institute of Mental Health (NIMH)","Public Site Status","07/12/2017","02/16/2021",,,,,,,
"392",481,644,"Title 731","Completed","Interventional","N/A","Behavioral",,,,,"03/26/2015","01/23/2019","Actual","01/23/2019","Actual",,,,,"04/04/2015",,,"12/24/2021","Public","NIDDK",,,,,"12/18/2021","12/18/2021","ro_name_DFF
ro_name_DFF@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HFG
cc_name_HFG@email.com
555-555-5555","so_name_AAF","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","04/08/2015","12/18/2021",,,,,,,
"395",506,457,"Title 628","Completed","Interventional","N/A","Other",,,,,"02/23/2014","03/26/2017","Actual","03/26/2017","Actual",,,,,"03/25/2013","03/23/2019",,"02/23/2022","Public","NHLBI; NIH","Posted",,,,"02/14/2022","02/14/2022","ro_name_BDE
ro_name_BDE@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_DBG
cc_name_DBG@email.com
555-555-5555","so_name_GHC","University","National Heart, Lung, and Blood Institute (NHLBI)
National Institutes of Health (NIH)","Public Site Status","03/25/2013","02/14/2022",,,,,,,
"396",372,461,"Title 1081","Completed","Interventional","N/A","Behavioral",,,,,"07/26/2013","01/03/2018","Actual","01/03/2018","Actual",,,,,"04/07/2013",,,"09/23/2020","Public","NICHD",,,,,"09/07/2020","09/07/2020","ro_name_ABD
ro_name_ABD@email.com","lu_name_BCF
lu_name_BCF@email.com","[Sponsor]","cc_name_BCG
cc_name_BCG@email.com
555 555 5555","so_name_BAH","University","Purdue University
University of Ghana
Kwame Nkrumah University of Science and Technology
Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","Public Site Status","04/08/2013","09/07/2020",,,,,,,
"397",111,479,"Title 1101","Completed","Observational",,,"No FDA regulated drug","No FDA regulated device",,,"07/26/2013","12/24/2018","Actual","12/24/2018","Actual",,,,,"06/02/2013",,,"11/23/2019","Public","NHLBI",,,,,"11/26/2019","11/26/2019","ro_name_AE
ro_name_AE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EHD
cc_name_EHD@email.com
555-555-5555","so_name_GDI","University","National Heart, Lung, and Blood Institute (NHLBI)","Public Site Status","06/23/2013","11/26/2019",,,,,,,
"400",,485,"Title 7","Completed","Interventional","N/A","Procedure/Surgery",,,,,"07/26/2013","04/25/2014","Actual","04/25/2014","Actual",,,,,"08/07/2013",,,"12/24/2014","Public",,,,,,"12/16/2014","12/16/2014","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_HAC
cc_name_HAC@email.com
555-555-5555",,"University",,"Public Site Status","08/07/2013","12/16/2014",,,,,,,
"405",,634,"Title 715","Completed","Interventional","N/A","Behavioral",,,,,"02/23/2015","08/25/2016","Actual","08/25/2016","Actual",,,,,"02/04/2015",,,"10/24/2017","Public",,,,,,"11/01/2017","11/01/2017","ro_name_CGI
ro_name_CGI@email.com","lu_name_BE
lu_name_BE@email.com","[Sponsor]","cc_name_GAA
cc_name_GAA@email.com
555-555-5555","so_name_FGG","University",,"Public Site Status","02/11/2015","11/01/2017",,,,,,,
"407",94,509,"Title 810","Completed","Interventional","N/A","Drug",,,,,"11/23/2013","10/11/2019","Actual","10/11/2019","Actual",,,,,"09/15/2013","10/03/2020",,"03/26/2022","Public","NIDDK","Posted",,,,"03/09/2022","03/09/2022","ro_name_GD
ro_name_GD@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_ACB
cc_name_ACB@email.com
555-555-5555","so_name_ACJ","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","11/25/2013","03/09/2022","pACT",,,,,,
"408",336,844,"Title 1087","Completed","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"01/23/2015","09/23/2016","Actual","09/23/2016","Actual",,,,,"08/13/2017",,,"08/26/2017","Public","NINR",,,,,"08/13/2017","08/13/2017","ro_name_DGG
ro_name_DGG@email.com","lu_name_BCE
lu_name_BCE@email.com","[Sponsor]","cc_name_HHJ
cc_name_HHJ@email.com
+5 (555) 555-5555","so_name_HDC","University","Beijing Ditan Hospital
Shanghai Public Health Clinical Center
National Institute of Nursing Research (NINR)","Public Site Status","08/13/2017","08/13/2017",,,,,,,
"409",,493,"Title 1240","Completed","Interventional","N/A","Behavioral",,,,,"10/24/2013","12/24/2015","Actual","03/25/2016","Actual",,,,,"09/01/2013","09/19/2021",,"10/24/2021","Public","NIMH","Posted",,,,"10/30/2021","10/30/2021","ro_name_DGG
ro_name_DGG@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_DCF
cc_name_DCF@email.com
555 555 5555","so_name_EEH","University","National Institute of Mental Health (NIMH)","Public Site Status","09/22/2013","10/30/2021",,,,,,,
"412",195,694,"Title 168","Recruiting","Interventional","N/A","Drug; Other",,,,,"11/17/2013","06/25/2023","Anticipated","06/25/2023","Anticipated",,,,,"12/01/2015",,,"09/23/2022","Public","NIDDK",,,,,"09/14/2022","09/14/2022","ro_name_CHJ
ro_name_CHJ@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_CDC
cc_name_CDC@email.com
(555) 555-5555","so_name_FGH","University","National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","Public Site Status","12/13/2015","09/14/2022","pACT",,"09/23/2023",,"06/24/2024","06/24/2024",
"413",,483,"Title 932","Completed","Interventional","Phase 2","Drug",,,,,"10/24/2013","12/24/2014","Actual","12/24/2014","Actual",,,,,"08/04/2013","09/13/2015",,"07/26/2017","Public",,"Posted",,,,"08/05/2017","08/05/2017","ro_name_AFI
ro_name_AFI@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_CAC
cc_name_CAC@email.com
555-555-5555","so_name_CAA","University","Genentech, Inc.","Public Site Status","08/04/2013","08/05/2017","pACT",,,,,,
"414",,863,"Title 1108","Completed","Interventional","N/A","Behavioral","No FDA regulated drug","No FDA regulated device",,,"11/25/2017","09/02/2018","Actual","09/02/2018","Actual",,,,,"09/23/2017",,,"12/24/2018","Public",,,,,,"12/29/2018","12/29/2018","ro_name_BHE
ro_name_BHE@email.com","lu_name_AAB
lu_name_AAB@email.com","[Sponsor]","cc_name_EJI
cc_name_EJI@email.com
555 555 5555",,"University","American Cancer Society, Inc.","Public Site Status","10/28/2017","12/29/2018",,,,,,,
